class,precision,recall,f1,support,tp,fp,fn
evidence of green and black box artifacts with visible text is present.,0.0,0.0,0.0,1,0,0,1
evidence of green and black box artifacts with visible text noted,0.0,0.0,0.0,2,0,0,2
evidence of green and black imaging artifacts,0.0,0.0,0.0,1,0,0,1
evidence of green-black box artefact and paris iia polyp observed,0.0,0.0,0.0,1,0,0,1
evidence of green/black box artefact and paris type i polyp seen,0.0,0.0,0.0,1,0,0,1
evidence of green/black box artefact and presence of paris ip polyp,0.0,0.0,0.0,1,0,0,1
evidence of green/black box artefact and presence of paris ip type polyp,0.0,0.0,0.0,1,0,0,1
evidence of green/black box artefact detected during colonoscopy.,0.0,0.0,0.0,1,0,0,1
evidence of green/black box artefact noted and polyp measuring 11 to 20 millimeters in size,0.0,0.0,0.0,1,0,0,1
evidence of hyperplastic polyp,0.0,0.0,0.0,6,0,0,6
evidence of hyperplastic polyps,0.0,0.0,0.0,1,0,0,1
evidence of incompletely removed polyp measuring 11 to 20 millimeters,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory bowel disease,0.0,0.0,0.0,25,0,0,25
evidence of inflammatory bowel disease and findings from a colonoscopy,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory bowel disease and no residual polyps identified,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory bowel disease and no residual polyps noted,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory bowel disease and presence of imaging artefact,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory bowel disease detected. polyp removal status not applicable.,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory bowel disease is present. text is visible.,0.0,0.0,0.0,2,0,0,2
evidence of inflammatory bowel disease noted during colonoscopy,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory bowel disease noted. no polyps identified.,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory bowel disease noted. no text identified.,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory bowel disease noted. text is present.,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory bowel disease noted. text is visible.,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory bowel disease observed during colonoscopic examination,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory bowel disease observed during colonoscopic examination.,0.0,0.0,0.0,1,0,0,1
"evidence of inflammatory bowel disease observed, no polyps detected",0.0,0.0,0.0,1,0,0,1
evidence of inflammatory changes consistent with ulcerative colitis,0.0,0.0,0.0,5,0,0,5
evidence of inflammatory changes consistent with ulcerative colitis and presence of a green/black box artefact.,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory changes consistent with ulcerative colitis and presence of text noted.,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory changes consistent with ulcerative colitis found during colonoscopy,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory changes consistent with ulcerative colitis noted. polyp removal status is not applicable.,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory changes consistent with ulcerative colitis observed during colonoscopy.,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory changes consistent with ulcerative colitis seen during colonoscopy.,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory changes consistent with ulcerative colitis was observed during the colonoscopy.,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory changes in the colon,0.0,0.0,0.0,7,0,0,7
evidence of inflammatory changes in the esophagus observed during gastroscopy.,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory changes in the esophagus. polyp removal status not applicable.,0.0,0.0,0.0,1,0,0,1
evidence of large pedunculated polyp,0.0,0.0,0.0,1,0,0,1
evidence of mucosal inflammation with pink and white lesions,0.0,0.0,0.0,1,0,0,1
evidence of multiple paris ip polyps,0.0,0.0,0.0,1,0,0,1
evidence of multiple polyps consistent with paris classification,0.0,0.0,0.0,1,0,0,1
evidence of oesophageal inflammation,0.0,0.0,0.0,31,0,0,31
evidence of oesophageal inflammation with no detectable polyp present,0.0,0.0,0.0,1,0,0,1
evidence of oesophagitis and a visible polyp,0.0,0.0,0.0,1,0,0,1
evidence of oesophagitis and short-segment barrett's esophagus,0.0,0.0,0.0,1,0,0,1
evidence of oesophagitis is observed during gastroscopy.,0.0,0.0,0.0,1,0,0,1
evidence of oesophagitis is present without artefacts.,0.0,0.0,0.0,1,0,0,1
"evidence of oesophagitis is present, and polyp removal is not indicated",0.0,0.0,0.0,1,0,0,1
evidence of oesophagitis observed during gastroscopy.,0.0,0.0,0.0,1,0,0,1
evidence of parietal polyp,0.0,0.0,0.0,1,0,0,1
evidence of parietal polyp formation,0.0,0.0,0.0,2,0,0,2
evidence of parietal polypoid lesion,0.0,0.0,0.0,1,0,0,1
evidence of parietal polyps,0.0,0.0,0.0,5,0,0,5
evidence of paris iia classification,0.0,0.0,0.0,3,0,0,3
evidence of paris iia polyp,0.0,0.0,0.0,1,0,0,1
evidence of paris iia type polyp,0.0,0.0,0.0,1,0,0,1
evidence of paris ip polyps observed,0.0,0.0,0.0,1,0,0,1
evidence of paris polyp,0.0,0.0,0.0,2,0,0,2
evidence of paris polyp morphology,0.0,0.0,0.0,1,0,0,1
evidence of paris polypoid lesion,0.0,0.0,0.0,2,0,0,2
evidence of paris type iia polyp,0.0,0.0,0.0,1,0,0,1
evidence of paris type iia polyps observed,0.0,0.0,0.0,1,0,0,1
evidence of paris type polyp,0.0,0.0,0.0,1,0,0,1
evidence of paris-type polyp,0.0,0.0,0.0,18,0,0,18
evidence of paris-type polypoid lesion,0.0,0.0,0.0,4,0,0,4
evidence of paris-type polyps,0.0,0.0,0.0,1,0,0,1
evidence of paris-type polyps noted,0.0,0.0,0.0,1,0,0,1
evidence of pedunculated polyp,0.0,0.0,0.0,10,0,0,10
evidence of polyp snare and tubular device,0.0,0.0,0.0,1,0,0,1
evidence of polypoid lesion,0.0,0.0,0.0,14,0,0,14
evidence of remaining polyps,0.0,0.0,0.0,2,0,0,2
evidence of residual polyp present,0.0,0.0,0.0,1,0,0,1
evidence of residual polyp tissue,0.0,0.0,0.0,1,0,0,1
evidence of residual polypoid lesion detected.,0.0,0.0,0.0,1,0,0,1
evidence of residual polypoid lesion noted,0.0,0.0,0.0,1,0,0,1
evidence of residual polypoid lesion observed,0.0,0.0,0.0,1,0,0,1
evidence of residual polypoid lesion present in the bowel,0.0,0.0,0.0,1,0,0,1
evidence of residual polypoid lesion remains in the colon.,0.0,0.0,0.0,1,0,0,1
evidence of residual polyps,0.0,0.0,0.0,5,0,0,5
evidence of residual polyps observed in the gastrointestinal tract,0.0,0.0,0.0,1,0,0,1
evidence of residual polyps present,0.0,0.0,0.0,1,0,0,1
evidence of sessile serrated polyp,0.0,0.0,0.0,6,0,0,6
evidence of text is present. a paris-type polyp is identified.,0.0,0.0,0.0,1,0,0,1
evidence of text presence and a paris-type polyp identified,0.0,0.0,0.0,1,0,0,1
evidence of tubular adenomatous polyps,0.0,0.0,0.0,1,0,0,1
evidence of ulcerative colitis,0.4,0.2553,0.3117,47,12,18,35
evidence of ulcerative colitis found during colonoscopy,0.0,0.0,0.0,1,0,0,1
evidence of ulcerative colitis involvement,0.0,0.0,0.0,28,0,0,28
evidence of ulcerative colitis is present; polyp removal is not applicable,0.0,0.0,0.0,1,0,0,1
evidence of ulcerative colitis noted during colonoscopy,0.0,0.0,0.0,1,0,0,1
evidence of upper endoscopy,0.0,0.0,0.0,1,0,0,1
evidence of upper gastrointestinal endoscopy,0.0,0.0,0.0,33,0,0,33
evidence of villous adenoma,0.0,0.0,0.0,1,0,0,1
evidence of z-line and one additional abnormal finding,0.0,0.0,0.0,1,0,0,1
evidence of z-line identification observed.,0.0,0.0,0.0,1,0,0,1
evidence of z-line is noted. no polyps are present for removal.,0.0,0.0,0.0,1,0,0,1
evidence of z-line is visible with findings consistent with oesophagitis.,0.0,0.0,0.0,1,0,0,1
findings are consistent with a colonoscopic procedure showing a sessile polyp.,0.0,0.0,0.0,1,0,0,1
findings are consistent with a colonoscopy showing red and flesh-colored lesions,0.0,0.0,0.0,1,0,0,1
findings are from a colonoscopy showing a paris type iia polyp.,0.0,0.0,0.0,1,0,0,1
findings are from a colonoscopy showing a polyp measuring 5 to 10 millimeters in size.,0.0,0.0,0.0,1,0,0,1
findings consistent with a colonoscopy showing a small polyp less than 5 millimeters in size,0.0,0.0,0.0,2,0,0,2
findings consistent with inflammatory bowel disease. no evidence of residual polyps.,0.0,0.0,0.0,1,0,0,1
findings consistent with ulcerative colitis observed during colonoscopy,0.0,0.0,0.0,1,0,0,1
findings from colonoscopy show a paris polyp,0.0,0.0,0.0,1,0,0,1
findings from colonoscopy show a polyp measuring 5 to 10 millimeters in size.,0.0,0.0,0.0,1,0,0,1
findings include a mucosal polyp and presence of text.,0.0,0.0,0.0,1,0,0,1
findings include a sessile polyp with characteristics consistent with paris iia classification.,0.0,0.0,0.0,1,0,0,1
findings include a small polypoid lesion and presence of artefact.,0.0,0.0,0.0,1,0,0,1
findings suggest evidence of esophageal inflammation from gastroscopic examination.,0.0,0.0,0.0,1,0,0,1
findings suggest evidence of inflammatory bowel disease. no text is visible.,0.0,0.0,0.0,1,0,0,1
findings suggest gastroscopy with evidence of barrett's esophagus and esophagitis.,0.0,0.0,0.0,1,0,0,1
"findings suggest inflammatory changes consistent with ulcerative colitis, and the image is from a colonoscopy procedure.",0.0,0.0,0.0,1,0,0,1
findings suggest presence of a colonic polyp observed during colonoscopy.,0.0,0.0,0.0,1,0,0,1
"findings suggest presence of colonic polyp, image obtained via colonoscopy",0.0,0.0,0.0,1,0,0,1
gastroscopic evaluation completed,0.0,0.0,0.0,1,0,0,1
gastroscopic evaluation of the stomach,0.0,0.0,0.0,2,0,0,2
gastroscopic evaluation of the upper gastrointestinal tract,0.0,0.0,0.0,3,0,0,3
gastroscopic examination of the stomach,0.0,0.0,0.0,13,0,0,13
gastroscopic examination performed,0.0,0.0,0.0,3,0,0,3
gastroscopic view shows the z-line present.,0.0,0.0,0.0,1,0,0,1
gastroscopic visualization of the gastric lumen,0.0,0.0,0.0,1,0,0,1
gastroscopic visualization of the stomach,0.0,0.0,0.0,4,0,0,4
gastroscopy image with no visible text present.,0.0,0.0,0.0,1,0,0,1
gastroscopy performed for diagnostic evaluation,0.0,0.0,0.0,2,0,0,2
gastroscopy performed in the stomach,0.0,0.0,0.0,1,0,0,1
gastroscopy performed to assess gastric lining,0.0,0.0,0.0,1,0,0,1
gastroscopy performed with endoscope,0.0,0.0,0.0,1,0,0,1
gastroscopy performed with no visible polyps detected,0.0,0.0,0.0,2,0,0,2
gastroscopy performed with presence of a green/black box artifact,0.0,0.0,0.0,1,0,0,1
gastroscopy performed with visible text in the field of view,0.0,0.0,0.0,1,0,0,1
gastroscopy reveals evidence of oesophagitis without identifiable anatomical landmarks.,0.0,0.0,0.0,1,0,0,1
gastroscopy reveals no polyps and shows the z-line anatomical landmark.,0.0,0.0,0.0,1,0,0,1
gastroscopy reveals the z-line anatomy.,0.0,0.0,0.0,1,0,0,1
gastroscopy reveals the z-line at the gastroesophageal junction.,0.0,0.0,0.0,1,0,0,1
gastroscopy reveals the z-line location.,0.0,0.0,0.0,1,0,0,1
gastroscopy shows no evidence of polyp removal.,0.0,0.0,0.0,1,0,0,1
gastroscopy was performed with no polyps identified and no text observed.,0.0,0.0,0.0,1,0,0,1
gastroscopy was performed with no polyps identified and text is visible.,0.0,0.0,0.0,1,0,0,1
gastroscopy was performed with no residual polyps identified and no instruments visible in the image.,0.0,0.0,0.0,1,0,0,1
gastroscopy was performed with no text visible and no polyp identified.,0.0,0.0,0.0,1,0,0,1
gastroscopy was performed with no visible instruments and no green or black box artefacts observed.,0.0,0.0,0.0,1,0,0,1
gastroscopy was performed with z-line identification and no polyps observed.,0.0,0.0,0.0,1,0,0,1
"gastroscopy was performed, and no polyps are visualized.",0.0,0.0,0.0,1,0,0,1
"gastroscopy was performed, no polyps were noted, and no instruments are visible in the image.",0.0,0.0,0.0,1,0,0,1
hyperplastic polyp noted in the rectosigmoid region,0.0,0.0,0.0,1,0,0,1
image acquired during colonoscopy without textual overlay,0.0,0.0,0.0,1,0,0,1
image from a colonoscopy showing a sessile polyp in the proximal colon,0.0,0.0,0.0,1,0,0,1
image from a colonoscopy showing no evidence of polyp removal,0.0,0.0,0.0,1,0,0,1
image from a colonoscopy with evidence of green and black box artifacts,0.0,0.0,0.0,1,0,0,1
image from a colonoscopy with residual polyps present,0.0,0.0,0.0,1,0,0,1
image from a gastroscopy showing the z-line without evidence of polyps.,0.0,0.0,0.0,1,0,0,1
image is from a colonoscopy with no evidence of polyp excision,0.0,0.0,0.0,1,0,0,1
image is from a colonoscopy with no instruments present,0.0,0.0,0.0,1,0,0,1
image is from a colonoscopy with no visible anatomical landmarks or instruments.,0.0,0.0,0.0,1,0,0,1
image is from a colonoscopy with no visible polyps remaining,0.0,0.0,0.0,1,0,0,1
image is from a gastroscopy procedure with no visible instruments,0.0,0.0,0.0,1,0,0,1
image obtained during a colonoscopy shows a visible tube with no green or black box artefacts present.,0.0,0.0,0.0,1,0,0,1
image obtained during colonoscopy with a tubular device in view,0.0,0.0,0.0,1,0,0,1
image obtained during colonoscopy with no notable anatomical landmarks visible,0.0,0.0,0.0,1,0,0,1
image obtained during colonoscopy with no visible polyps remaining,0.0,0.0,0.0,1,0,0,1
image obtained during colonoscopy with visible green and black box artifacts,0.0,0.0,0.0,1,0,0,1
image obtained during colonoscopy without evidence of green or black box artifacts,0.0,0.0,0.0,1,0,0,1
image obtained during gastroscopy with no text present,0.0,0.0,0.0,1,0,0,1
image shows a colonoscopy with no green or black box artifacts and a tube present in the field.,0.0,0.0,0.0,1,0,0,1
image shows a gastroscopy with no visible instruments,0.0,0.0,0.0,1,0,0,1
image shows findings from a gastroscopy with no identifiable polyps present.,0.0,0.0,0.0,1,0,0,1
incomplete polyp removal detected with largest measuring over 20 millimeters,0.0,0.0,0.0,1,0,0,1
incomplete polyp removal noted,0.0,0.0,0.0,1,0,0,1
incomplete polyp removal noted with presence of parietal type ii lesion,0.0,0.0,0.0,1,0,0,1
incomplete polyp removal noted with residual lesion less than 5 millimeters,0.0,0.0,0.0,1,0,0,1
"incomplete polyp removal noted, with evidence of esophagitis",0.0,0.0,0.0,1,0,0,1
incomplete polyp removal observed with residual lesion measuring 5 to 10 millimeters,0.0,0.0,0.0,1,0,0,1
incomplete polyp removal with residual sessile polyp identified,0.0,0.0,0.0,1,0,0,1
incomplete removal of polyp observed,0.0,0.0,0.0,1,0,0,1
"incomplete removal of polyps noted, with largest measuring 11 to 20 millimeters.",0.0,0.0,0.0,1,0,0,1
incomplete removal of polyps observed. pathology indicates a sessile serrated polyp.,0.0,0.0,0.0,1,0,0,1
large polyp measuring greater than 20 millimeters with paris morphology,0.0,0.0,0.0,1,0,0,1
large sessile polyp measuring greater than 20 millimeters is observed.,0.0,0.0,0.0,1,0,0,1
metal clip and tube located in the abdomen,0.0,0.0,0.0,1,0,0,1
metal clip and tube noted,0.0,0.0,0.0,1,0,0,1
metal clip present in the field,0.0,0.0,0.0,1,0,0,1
mucosal inflammation is observed in the esophagus. no artefact is present.,0.0,0.0,0.0,1,0,0,1
mucosal inflammation is observed with no visible instruments and two distinct findings present.,0.0,0.0,0.0,1,0,0,1
mucosal inflammation is present in the esophagus. no artefacts are observed.,0.0,0.0,0.0,1,0,0,1
mucosal inflammation is present in the esophagus. no box artefact is observed.,0.0,0.0,0.0,1,0,0,1
mucosal inflammation is present in the esophagus. text is visible.,0.0,0.0,0.0,1,0,0,1
mucosal inflammation noted without evidence of residual polyps,0.0,0.0,0.0,1,0,0,1
mucosal lesion consistent with paris iia classification,0.0,0.0,0.0,1,0,0,1
multiple polypoid lesions observed in the colon.,0.0,0.0,0.0,1,0,0,1
multiple polyps are observed with features consistent with paris is type.,0.0,0.0,0.0,1,0,0,1
"multiple polyps are observed with text noted, and a paris ip classification is identified.",0.0,0.0,0.0,1,0,0,1
"multiple polyps are observed, with the largest measuring between 5 to 10 millimeters in size.",0.0,0.0,0.0,1,0,0,1
multiple polyps are present along with a green/black box artefact.,0.0,0.0,0.0,1,0,0,1
multiple polyps are present in the gastrointestinal tract.,0.0,0.0,0.0,1,0,0,1
multiple polyps are present with a size range of 11 to 20 millimeters and text is visible in the image.,0.0,0.0,0.0,1,0,0,1
multiple polyps are present with evidence of mucosal abnormalities and text noted.,0.0,0.0,0.0,1,0,0,1
"multiple polyps are present, the image is from a colonoscopy, and a paris iia polyp is identified.",0.0,0.0,0.0,1,0,0,1
"multiple polyps are present, with a paris-type lesion identified, and text is visible.",0.0,0.0,0.0,1,0,0,1
multiple polyps detected with sizes ranging between 11 to 20 millimeters.,0.0,0.0,0.0,1,0,0,1
multiple polyps measuring 5 to 20 millimeters,0.0,0.0,0.0,1,0,0,1
multiple polyps observed in the colon,0.0,0.0,0.0,1,0,0,1
"multiple polyps of varying sizes are observed, including 11 to 20 millimeters and greater than 20 millimeters in diameter.",0.0,0.0,0.0,1,0,0,1
"no abnormal findings observed, no artefacts noted.",0.0,0.0,0.0,1,0,0,1
no abnormal findings observed. no green or black box artefact present.,0.0,0.0,0.0,1,0,0,1
no abnormal polyp detected,0.0,0.0,0.0,1,0,0,1
no abnormal polypoid lesions identified,0.0,0.0,0.0,1,0,0,1
"no anatomical landmarks identified, consistent with normal appearance.",0.0,0.0,0.0,1,0,0,1
no anatomical landmarks identified; evidence of ulcerative colitis present.,0.0,0.0,0.0,1,0,0,1
no anatomical landmarks or instruments are visible in the colonoscopy image.,0.0,0.0,0.0,1,0,0,1
"no artefacts detected, no evidence of polypoid lesions",0.0,0.0,0.0,1,0,0,1
"no artifacts are present, and a paris ip polyp is observed.",0.0,0.0,0.0,1,0,0,1
"no artifactual abnormalities detected, but a paris type iia polyp is present.",0.0,0.0,0.0,1,0,0,1
no evidence of abnormal findings or green/black box artefacts observed.,0.0,0.0,0.0,1,0,0,1
no evidence of abnormalities noted. no green/black box artefact observed.,0.0,0.0,0.0,1,0,0,1
no evidence of box artifacts or text noted.,0.0,0.0,0.0,1,0,0,1
no evidence of box-like artifacts,0.0,0.0,0.0,15,0,0,15
no evidence of box-like artifacts detected,0.0,0.0,0.0,6,0,0,6
no evidence of box-like artifacts observed,0.0,0.0,0.0,25,0,0,25
no evidence of box-shaped artifacts,0.0,0.0,0.0,23,0,0,23
no evidence of box-shaped artifacts observed,0.0,0.0,0.0,1,0,0,1
no evidence of complete polyp removal and presence of sessile polyp,0.0,0.0,0.0,1,0,0,1
no evidence of complete polyp removal; hyperplastic polyp noted,0.0,0.0,0.0,1,0,0,1
"no evidence of green or black box artefact noted, and the polyp measures 5 to 10 millimeters in size.",0.0,0.0,0.0,2,0,0,2
"no evidence of green or black box artefact noted, image obtained via colonoscopy",0.0,0.0,0.0,1,0,0,1
no evidence of green or black box artefact observed and polyp measuring 5 to 10 millimeters in size,0.0,0.0,0.0,1,0,0,1
"no evidence of green or black box artefact observed, and the polyp measures 5 to 10 millimeters.",0.0,0.0,0.0,1,0,0,1
"no evidence of green or black box artefact observed, image obtained during colonoscopy",0.0,0.0,0.0,1,0,0,1
no evidence of green or black box artifact and no polyp identified,0.0,0.0,0.0,1,0,0,1
"no evidence of green or black box artifact noted, and a paris iia polyp is present.",0.0,0.0,0.0,1,0,0,1
no evidence of green or black box artifacts,0.0,0.0,0.0,5,0,0,5
no evidence of green or black box artifacts observed,0.0,0.0,0.0,1,0,0,1
no evidence of oesophagitis and no green/black box artefact observed,0.0,0.0,0.0,1,0,0,1
no evidence of polyp removal detected. no identifiable anatomical landmarks visible.,0.0,0.0,0.0,1,0,0,1
no evidence of polypoid lesions,0.0,0.0,0.0,16,0,0,16
"no evidence of polypoid lesions detected, and no signs of inflammatory bowel disease observed.",0.0,0.0,0.0,1,0,0,1
"no evidence of polypoid lesions detected, and no signs of ulcerative colitis observed.",0.0,0.0,0.0,1,0,0,1
no evidence of polypoid lesions detected.,0.0,0.0,0.0,1,0,0,1
no evidence of polypoid lesions found in the gastrointestinal tract.,0.0,0.0,0.0,1,0,0,1
no evidence of polypoid lesions identified.,0.0,0.0,0.0,1,0,0,1
no evidence of polypoid lesions noted.,0.0,0.0,0.0,1,0,0,1
no evidence of polypoid lesions observed.,0.0,0.0,0.0,3,0,0,3
"no evidence of polyps identified, no signs of ulcerative colitis observed",0.0,0.0,0.0,1,0,0,1
no evidence of remaining polyps and no box artifacts observed,0.0,0.0,0.0,1,0,0,1
no evidence of remaining polyps and no green or black box artifacts identified,0.0,0.0,0.0,1,0,0,1
no evidence of residual polyps,0.0,0.0,0.0,1,0,0,1
no evidence of residual polyps and text is present,0.0,0.0,0.0,1,0,0,1
no evidence of ulcerative colitis or artefacts observed.,0.0,0.0,0.0,1,0,0,1
no evidence of ulcerative colitis or detectable polyps observed.,0.0,0.0,0.0,1,0,0,1
no evidence of ulcerative colitis or green/black box artefact detected.,0.0,0.0,0.0,1,0,0,1
no evidence of ulcerative colitis or green/black box artefact observed,0.0,0.0,0.0,1,0,0,1
no evidence of ulcerative colitis or polypoid lesions detected.,0.0,0.0,0.0,1,0,0,1
no foreign bodies identified and polyp removal status is not applicable,0.0,0.0,0.0,1,0,0,1
"no foreign bodies identified, incomplete polyp excision noted",0.0,0.0,0.0,1,0,0,1
"no foreign bodies identified, text visible in the image",0.0,0.0,0.0,1,0,0,1
"no foreign instruments identified, text is visible",0.0,0.0,0.0,1,0,0,1
"no green or black box artefact identified, and a paris iia polyp is noted.",0.0,0.0,0.0,1,0,0,1
"no green or black box artefact noted, and polyp measures 5 to 10 millimeters",0.0,0.0,0.0,1,0,0,1
"no green or black box artefact observed, and the polyp measures 11 to 20 millimeters.",0.0,0.0,0.0,1,0,0,1
"no green or black box artefacts are present, but a large polyp measuring greater than 20 millimeters is observed.",0.0,0.0,0.0,1,0,0,1
no green or black box artifacts are observed in the image,0.0,0.0,0.0,1,0,0,1
no green or black box artifacts are present in the image.,0.0,0.0,0.0,1,0,0,1
